run,suffix
1,[14230| 19882| 37231| 15664| 117504| 12360| 105212| 70762| 49535| 26815| 91996| 46200| 76044| 86099| 13347| 10669| 112256| 9718| 28415| 66739| 6105| 114087| 111517| 52193| 71423]
2,[53552| 78369| 16808| 4648| 57724| 72795| 24170| 46117| 9057| 101332| 68859| 113432| 98265| 57277| 116079| 88606| 118506| 96187| 62015| 80125| 30512| 114994| 121043| 93731| 110027]
3,[13300| 19934| 19176| 23492| 117929| 40595| 4364| 35599| 52193| 100378| 97967| 107996| 88179| 81398| 36965| 73544| 81175| 16604| 113898| 84660| 56250| 55779| 2308| 69232| 71971]
4,[60209| 40399| 5388| 90283| 99363| 125022| 34766| 16944| 24430| 55456| 72710| 8572| 81750| 79857| 12220| 7714| 16713| 17179| 76447| 52745| 25058| 99827| 95074| 37172| 112498]
5,[95368| 90306| 19170| 44842| 21684| 15733| 114599| 18011| 115205| 108551| 9820| 25755| 34790| 73458| 56646| 85579| 109990| 47598| 4493| 81547| 32426| 67379| 124459| 115664| 105075]
6,[81344| 5835| 31046| 41190| 49185| 7945| 45765| 35599| 26652| 58756| 101092| 95926| 61116| 47072| 19668| 10389| 45440| 23016| 101338| 50629| 121818| 50948| 125732| 107646| 120573]
7,[88758| 72803| 79147| 98627| 85683| 125861| 20004| 60170| 77060| 99240| 39630| 33690| 122731| 30780| 24000| 90794| 78867| 99221| 1066| 17224| 127364| 36657| 56727| 92144| 92985]
8,[84232| 15840| 82566| 62184| 68312| 27048| 82595| 40624| 42908| 107804| 73329| 72668| 38003| 112753| 65918| 68910| 69931| 126157| 122291| 14984| 57931| 57277| 12364| 84025| 92534]
9,[73710| 125563| 44387| 37154| 125232| 105689| 101713| 66417| 124306| 56845| 113915| 105452| 43710| 84290| 118228| 48034| 120048| 67727| 26876| 92474| 50743| 55270| 104988| 17124| 120281]
10,[5430| 72831| 39792| 2221| 74016| 95317| 69664| 126157| 94996| 37585| 92462| 74589| 14211| 90418| 67821| 36896| 28594| 26362| 120409| 16| 31147| 49280| 56473| 66383| 80668]
11,[41902| 112632| 82422| 47734| 92715| 19703| 91978| 73601| 33559| 63637| 55303| 22124| 48284| 9763| 81787| 61677| 9133| 126778| 45242| 12399| 26123| 8620| 71949| 79994| 81140]
12,[63519| 34647| 104147| 54605| 12758| 59852| 4568| 86099| 2256| 89981| 90835| 48719| 81091| 49768| 68948| 69478| 74638| 4017| 78566| 61223| 112054| 15220| 103060| 103019| 104892]
13,[26694| 57136| 75302| 10246| 53042| 53884| 12708| 35674| 83949| 26481| 107319| 61189| 50120| 28288| 54851| 271| 73715| 29620| 61625| 93760| 43372| 77080| 88542| 51638| 43252]
14,[6576| 88881| 78701| 60378| 92044| 62485| 89246| 110188| 55558| 15439| 55886| 18218| 88836| 11198| 117662| 49905| 81819| 95907| 114456| 389| 69454| 58500| 52307| 43539| 79276]
15,[94017| 88711| 25360| 102535| 126234| 79478| 8851| 108448| 43807| 114923| 1432| 21101| 25604| 21155| 48685| 72803| 109743| 44662| 18019| 49280| 22173| 75747| 53226| 5543| 56470]
16,[99858| 84875| 94756| 83691| 35286| 58410| 78339| 121515| 106669| 86793| 73708| 124052| 71990| 114315| 16565| 38828| 90881| 90312| 49526| 9892| 9226| 12686| 81855| 66417| 45076]
17,[96783| 91996| 122864| 55038| 88179| 13440| 432| 101909| 7264| 102940| 122119| 98529| 57619| 3184| 113821| 60292| 97165| 108178| 97300| 126746| 28305| 49420| 68910| 102330| 85015]
18,[90396| 6902| 39371| 64164| 12285| 72803| 557| 65310| 60744| 7704| 94327| 62300| 7093| 107340| 91185| 73443| 24820| 56576| 79946| 53260| 16027| 32653| 45281| 101439| 78649]
19,[41981| 48911| 47825| 25730| 86385| 113803| 52210| 72964| 66559| 76707| 37841| 33486| 77664| 23624| 116144| 15077| 43180| 71677| 102258| 4562| 100351| 28801| 1066| 30245| 43714]
20,[74634| 18247| 48675| 114272| 66933| 46209| 101911| 21848| 72216| 115163| 881| 73941| 125512| 70712| 448| 51856| 22853| 2236| 18155| 102437| 43619| 879| 5870| 56997| 92815]
21,[1164| 83021| 30428| 59934| 58215| 115992| 106176| 101741| 93661| 64171| 98743| 98160| 110641| 91050| 98894| 2993| 29944| 59209| 44421| 34314| 57261| 79008| 57442| 45662| 70850]
22,[54199| 77050| 93460| 83849| 29229| 98193| 77047| 3559| 53785| 90800| 74435| 125330| 117759| 116802| 120601| 31116| 57584| 60415| 61496| 68874| 21500| 14023| 48251| 13195| 80710]
23,[54380| 34228| 69298| 97008| 31423| 36050| 115545| 14211| 29299| 68910| 126996| 81730| 11925| 44450| 84097| 72012| 4202| 93600| 73748| 114100| 31859| 25281| 107412| 47071| 55043]
24,[81923| 81344| 29944| 2727| 15882| 10714| 102491| 44250| 125831| 12157| 126823| 20893| 46447| 22201| 94867| 21649| 65941| 31829| 88245| 125537| 28404| 81606| 88179| 95963| 77289]
25,[15425| 96600| 103378| 32728| 77999| 68723| 91730| 10415| 88997| 59309| 1064| 48366| 72088| 112206| 61520| 112177| 18108| 43934| 81755| 111354| 119157| 33269| 77920| 35941| 13995]
26,[28324| 44702| 9827| 47221| 81303| 37635| 6453| 30438| 29864| 36397| 82823| 32253| 83253| 2649| 45048| 89248| 12291| 75823| 105705| 31517| 75027| 20359| 21516| 30158| 57133]
27,[12637| 110237| 51434| 7170| 125015| 106511| 18877| 65726| 80946| 20254| 40612| 90353| 121004| 114865| 68683| 30405| 6989| 7235| 85713| 123496| 81365| 46848| 23820| 3756| 35748]
28,[93504| 80564| 75197| 74670| 34997| 127202| 16350| 55160| 12278| 99151| 94489| 22925| 74016| 42333| 69067| 6296| 23756| 105296| 58366| 110221| 38983| 32415| 4724| 2236| 59329]
29,[51230| 10661| 29422| 74095| 108342| 107589| 61706| 65418| 105795| 71670| 67727| 95334| 69869| 118038| 18044| 14269| 30231| 73458| 75572| 97943| 115089| 99335| 73458| 24445| 15465]
30,[13709| 97873| 80305| 15588| 125727| 125406| 110408| 70136| 98931| 118701| 126169| 81110| 84855| 9714| 123584| 43180| 125511| 88446| 117997| 69232| 66326| 16110| 79515| 15846| 83201]
